"Date	Close	Volume	Company_ticker	Company_name	Field	Dis_category	Rate_of_Return	Date1	Close1	Volume1	Company_ticker1	Company_name1	Field	Dis_category	Rate_of_Return1"
"11/26/2015	29.9	0	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	11/27/2015	82.81	429689	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.00717587"
"11/25/2015	29.9	7107333	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.001675042	11/26/2015	82.22	0	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0"
"11/24/2015	29.85	10027060	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.004336224	11/25/2015	82.22	638364	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.005380289"
"11/23/2015	29.98	8822129	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.002993016	11/24/2015	81.78	839272	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.004051565"
"11/20/2015	30.07	10926638	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.004006678	11/23/2015	81.45	763657	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.016219588"
"11/19/2015	29.95	9685532	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.011551155	11/20/2015	80.15	720811	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.003481288"
"11/18/2015	30.3	14999894	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.003976143	11/19/2015	80.43	769473	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.005500688"
"11/17/2015	30.18	7765604	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.003960396	11/18/2015	79.99	546947	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.012275373"
"11/16/2015	30.3	7747258	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.020545638	11/17/2015	79.02	1048093	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.030650841"
"11/13/2015	29.69	11233397	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.010992672	11/16/2015	76.67	741314	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.022539344"
"11/12/2015	30.02	9302441	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0	11/13/2015	74.98	550389	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.014587988"
"11/11/2015	30.02	9428801	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	-0.001994681	11/12/2015	76.09	716607	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	-0.031317632"
"11/10/2015	30.08	9685326	FOXA	21st_Century_Fox	Studio	Studio_Entertainment	0.020006782	11/11/2015	78.55	913854	AMCX	AMC_Networks_Inc_	Studio	Studio_Entertainment	0.018146468"
